Date,Hour,Parameter,Units,Value
02/22,11,Temperature,degreesF,27
02/22,11,Surface Wind,mph,7
02/22,11,Wind Direction,direction,SSW
02/22,11,Gust,mph,0
02/22,11,Sky Cover,pct,3
02/22,11,Precipitation Potential,pct,0
02/22,11,Relative Humitity,pct,71
02/22,11,Mixing Height,x100ft,8
02/22,12,Temperature,degreesF,33
02/22,12,Surface Wind,mph,7
02/22,12,Wind Direction,direction,SSW
02/22,12,Gust,mph,0
02/22,12,Sky Cover,pct,3
02/22,12,Precipitation Potential,pct,0
02/22,12,Relative Humitity,pct,64
02/22,12,Mixing Height,x100ft,11
02/22,13,Temperature,degreesF,37
02/22,13,Surface Wind,mph,7
02/22,13,Wind Direction,direction,SSW
02/22,13,Gust,mph,0
02/22,13,Sky Cover,pct,3
02/22,13,Precipitation Potential,pct,0
02/22,13,Relative Humitity,pct,62
02/22,13,Mixing Height,x100ft,13
02/22,14,Temperature,degreesF,39
02/22,14,Surface Wind,mph,8
02/22,14,Wind Direction,direction,SSW
02/22,14,Gust,mph,0
02/22,14,Sky Cover,pct,3
02/22,14,Precipitation Potential,pct,0
02/22,14,Relative Humitity,pct,63
02/22,14,Mixing Height,x100ft,13
02/22,15,Temperature,degreesF,42
02/22,15,Surface Wind,mph,8
02/22,15,Wind Direction,direction,SSW
02/22,15,Gust,mph,0
02/22,15,Sky Cover,pct,2
02/22,15,Precipitation Potential,pct,0
02/22,15,Relative Humitity,pct,61
02/22,15,Mixing Height,x100ft,13
02/22,16,Temperature,degreesF,42
02/22,16,Surface Wind,mph,8
02/22,16,Wind Direction,direction,SSW
02/22,16,Gust,mph,0
02/22,16,Sky Cover,pct,3
02/22,16,Precipitation Potential,pct,0
02/22,16,Relative Humitity,pct,63
02/22,16,Mixing Height,x100ft,12
02/22,17,Temperature,degreesF,41
02/22,17,Surface Wind,mph,7
02/22,17,Wind Direction,direction,SSW
02/22,17,Gust,mph,0
02/22,17,Sky Cover,pct,13
02/22,17,Precipitation Potential,pct,0
02/22,17,Relative Humitity,pct,64
02/22,17,Mixing Height,x100ft,5
02/22,18,Temperature,degreesF,38
02/22,18,Surface Wind,mph,7
02/22,18,Wind Direction,direction,S
02/22,18,Gust,mph,0
02/22,18,Sky Cover,pct,6
02/22,18,Precipitation Potential,pct,0
02/22,18,Relative Humitity,pct,70
02/22,18,Mixing Height,x100ft,4
02/22,19,Temperature,degreesF,33
02/22,19,Surface Wind,mph,6
02/22,19,Wind Direction,direction,S
02/22,19,Gust,mph,0
02/22,19,Sky Cover,pct,3
02/22,19,Precipitation Potential,pct,0
02/22,19,Relative Humitity,pct,77
02/22,19,Mixing Height,x100ft,4
02/22,20,Temperature,degreesF,32
02/22,20,Surface Wind,mph,6
02/22,20,Wind Direction,direction,S
02/22,20,Gust,mph,0
02/22,20,Sky Cover,pct,4
02/22,20,Precipitation Potential,pct,0
02/22,20,Relative Humitity,pct,80
02/22,20,Mixing Height,x100ft,4
02/22,21,Temperature,degreesF,30
02/22,21,Surface Wind,mph,6
02/22,21,Wind Direction,direction,S
02/22,21,Gust,mph,0
02/22,21,Sky Cover,pct,4
02/22,21,Precipitation Potential,pct,0
02/22,21,Relative Humitity,pct,83
02/22,21,Mixing Height,x100ft,4
02/22,22,Temperature,degreesF,30
02/22,22,Surface Wind,mph,6
02/22,22,Wind Direction,direction,SSW
